# Reuter 2020 table D1
#Source		specz	S_3mm	err_3mm	S_2mm	err_2mm	S_1mm	err_1mm	S_870	err_870	S_500	err_500	S_350	err_350	S_250	err_250	S_160	err_160	S_100	err_100	
#---		---	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	
SPT0002-52	2.351	0.47	0.03	3.1	0.9	10.7	5.8	50.3	3.8	202.0	10.0	283.5	8.9	332.9	10.1	234.3	21.3	93.9	5.4
SPT0020-51	4.123	1.25	0.05	6.6	1.4	19.9	4.6	70.5	4.3	144.1	8.6	120.9	7.4	71.5	7.5	nan	8.7	nan	2.7
SPT0027-50	3.444	1.41	0.05	8.6	1.4	35.6	5.1	138.4	8.2	316.1	8.1	325.7	7.2	232.9	6.8	85.6	13.0	15.8	2.3
SPT0054-41	4.877	1.8	0.06	10.4	1.5	32.5	5.3	98.4	6.5	174.2	10.3	125.9	8.9	79.0	9.3	nan	nan	nan	nan
SPT0103-45	3.090	1.46	0.23	8.2	1.5	30.6	5.2	124.5	6.1	231.6	7.6	213.3	6.8	133.2	10.8	nan	15.7	nan	4.4
SPT0106-64	4.910	2.15	0.07	12.7	1.3	42.6	4.9	145.3	7.6	237.3	8.7	255.7	10.1	151.9	8.0	64.1	13.5	nan	4.1
SPT0109-47	3.614	1.11	0.04	6.9	1.5	15.6	5.0	109.2	8.2	213.9	8.4	219.4	9.1	166.4	8.8	57.3	9.5	nan	2.8
SPT0112-55	3.443	0.18	0.03	4.3	1.1	17.3	4.7	36.1	4.1	37.0	7.3	38.0	6.3	nan	6.3	nan	nan	nan	nan
SPT0113-46	4.233	1.28	0.2	8.9	1.6	22.3	4.9	79.4	8.2	89.1	6.4	56.2	5.8	24.9	5.6	nan	7.6	nan	2.2
SPT0125-47	2.515	1.88	0.29	8.3	1.3	32.2	5.1	143.5	9.3	506.5	10.0	655.5	11.2	777.7	13.4	422.8	48.2	116.3	6.0
SPT0125-50	3.957	1.51	0.24	7.1	1.2	29.4	5.0	109.0	8.8	162.4	7.1	181.1	6.5	155.7	8.0	65.7	13.7	13.1	2.8
SPT0136-63	4.299	1.12	0.05	6.7	1.4	21.5	4.4	68.7	4.1	122.1	6.3	81.1	6.8	42.1	5.2	nan	nan	nan	nan
SPT0147-64	4.803	1.87	0.06	10.8	1.3	28.4	4.6	83.3	4.6	122.4	6.7	98.8	6.8	49.4	6.2	nan	nan	nan	nan
SPT0150-59	2.788	1.04	0.04	7.1	1.4	22.9	4.8	62.7	2.8	170.1	8.7	208.2	7.3	173.9	7.9	nan	nan	nan	nan
SPT0155-62	4.349	4.12	0.07	23.6	1.5	67.2	5.1	174.2	6.9	199.9	7.3	134.6	6.6	58.1	4.3	nan	8.4	nan	3.8
SPT0202-61	5.018	2.73	0.06	13.9	1.2	41.0	4.4	109.4	7.4	145.7	6.9	149.6	7.6	128.3	7.7	44.1	11.3	10.1	2.7
SPT0226-45	3.233	0.59	0.03	6.2	1.2	20.1	5.8	66.3	5.1	172.0	14.5	183.5	8.6	184.6	10.3	nan	nan	nan	nan
SPT0243-49	5.702	3.16	0.48	10.5	1.3	28.6	4.6	84.5	5.0	57.5	6.9	43.5	6.7	24.9	5.6	nan	10.5	nan	3.4
SPT0245-63	5.626	1.31	0.05	6.2	1.2	16.4	3.9	61.2	4.9	59.3	6.7	51.5	6.1	49.7	6.2	49.3	7.8	31.2	2.6
SPT0300-46	3.595	1.01	0.16	5.6	1.4	17.1	4.7	56.8	5.2	153.2	7.2	129.5	6.1	84.6	7.8	nan	12.6	nan	3.2
SPT0311-58	6.901	1.28	0.05	7.3	1.3	17.8	4.1	36.9	7.4	51.8	8.2	38.2	6.0	28.8	8.0	nan	nan	nan	nan
SPT0314-44	2.935	1.53	0.06	11.5	1.5	37.9	5.2	104.1	6.1	390.1	11.5	443.3	10.7	337.1	10.7	117.3	14.9	nan	4
SPT0319-47	4.51	1.2	0.2	6.8	1.3	21.2	4.5	67.1	6.3	103.4	6.6	101.9	6.1	69.4	6.8	33.0	8.0	nan	2.4
SPT0345-47	4.296	1.48	0.24	6.1	1.2	23.1	4.6	89.2	6.0	214.9	7.7	275.0	7.4	233.2	6.2	84.0	12.1	12.5	2.4
SPT0346-52	5.655	2.82	0.43	12.0	1.2	39.0	4.7	130.8	7.6	203.7	8.3	181.0	6.5	122.1	6.9	32.6	8.6	nan	2.1
SPT0348-62	5.654	0.81	0.04	4.11	1.42	17.09	5.81	51.5	4.2	55.0	6.8	45.1	6.4	29.1	6.1	nan	8.7	nan	1.9
