# Note: Line fluxes given scaled to redshift z = 3.0 and M_d = 8.68e+09Msun 
# Max contribution from a single source is 0.71 for HCN32 line
# The last several lines give the results for stacking *all* transitions of
# a given molecule - be careful with how you use these values!
# Line 		Nsrc 	I 	dI 	16% 	84% 	Lline 		dLline 		L'line 		dL'line 	S/N 	Max single contribution 
# --- 		--- 	Jykm/s 	Jykm/s	Jykm/s 	Jykm/s 	Lsun 		Lsun 		Kkm/spc2 	Kkm/spc2 	--- 	---
CO10    	8 	0.738 	0.030 	0.580 	1.187 	1.498e+07 	6.122e+05 	3.056e+11 	1.249e+10 	24.46 	0.37
CO21    	24 	2.531 	0.063 	1.866 	4.740 	1.027e+08 	2.560e+06 	2.619e+11 	6.529e+09 	40.11 	0.19
CO32    	16 	4.636 	0.061 	3.221 	7.517 	2.821e+08 	6.378e+06 	2.132e+11 	4.820e+09 	76.58 	0.14
CO43    	38 	7.816 	0.103 	5.291 	15.368 	6.341e+08 	1.442e+07 	2.022e+11 	4.600e+09 	76.14 	0.12
CO54    	35 	11.357 	0.192 	6.845 	22.830 	1.152e+09 	3.375e+07 	1.881e+11 	5.511e+09 	59.11 	0.25
CO65    	12 	15.694 	0.927 	9.306 	32.671 	1.910e+09 	1.954e+08 	1.805e+11 	1.847e+10 	16.93 	0.26
13CO32  	13 	0.185 	0.040 	-0.019 	0.409 	1.074e+07 	2.340e+06 	9.290e+09 	2.024e+09 	4.59 	0.14
13CO43  	32 	0.235 	0.054 	-0.254 	0.691 	1.824e+07 	4.222e+06 	6.655e+09 	1.541e+09 	4.32 	0.15
13CO54  	36 	0.375 	0.095 	-0.249 	1.209 	3.640e+07 	9.186e+06 	6.803e+09 	1.717e+09 	3.96 	0.21
13CO65  	19 	0.430 	0.251 	-1.466 	2.303 	5.003e+07 	2.924e+07 	5.412e+09 	3.163e+09 	1.71 	0.15
C18O32  	14 	0.094 	0.039 	-0.029 	0.239 	5.448e+06 	2.276e+06 	4.767e+09 	1.991e+09 	2.39 	0.14
C18O43  	30 	0.079 	0.060 	-0.532 	0.488 	6.114e+06 	4.599e+06 	2.257e+09 	1.698e+09 	1.33 	0.17
C18O54  	36 	0.115 	0.084 	-0.927 	1.083 	1.111e+07 	8.128e+06 	2.100e+09 	1.537e+09 	1.37 	0.29
C18O65  	19 	0.159 	0.251 	-1.060 	1.551 	1.846e+07 	2.912e+07 	2.019e+09 	3.186e+09 	0.63 	0.15
CI10    	38 	2.284 	0.067 	1.361 	5.184 	1.978e+08 	5.761e+06 	5.185e+10 	1.510e+09 	34.33 	0.16
HCN32   	2 	-0.074 	0.198 	-0.294 	0.095 	-3.460e+06 	9.278e+06 	-5.753e+09 	1.542e+10 	-0.37 	0.55
HCN43   	18 	0.245 	0.033 	-0.002 	0.440 	1.531e+07 	2.080e+06 	1.074e+10 	1.459e+09 	7.36 	0.16
HCN54   	32 	0.099 	0.054 	-0.425 	0.575 	7.743e+06 	4.230e+06 	2.781e+09 	1.519e+09 	1.83 	0.16
HCN65   	37 	0.167 	0.077 	-0.436 	1.363 	1.558e+07 	7.193e+06 	3.239e+09 	1.495e+09 	2.17 	0.26
HCN76   	24 	0.198 	0.210 	-1.215 	1.177 	2.162e+07 	2.290e+07 	2.831e+09 	2.998e+09 	0.94 	0.09
HCN87   	10 	0.789 	0.642 	-2.552 	3.616 	9.838e+07 	8.008e+07 	8.631e+09 	7.026e+09 	1.23 	0.24
HNC32   	2 	0.024 	0.195 	-0.116 	0.174 	1.128e+06 	9.313e+06 	1.752e+09 	1.446e+10 	0.12 	0.51
HNC43   	20 	0.153 	0.039 	-0.073 	0.677 	9.786e+06 	2.488e+06 	6.413e+09 	1.630e+09 	3.93 	0.15
HNC54   	35 	0.206 	0.105 	-0.693 	1.417 	1.560e+07 	4.648e+06 	5.230e+09 	1.559e+09 	1.96 	0.12
HNC65   	38 	0.060 	0.082 	-0.679 	0.876 	5.709e+06 	7.831e+06 	1.109e+09 	1.521e+09 	0.73 	0.26
HNC76   	21 	0.050 	0.242 	-0.690 	1.313 	5.581e+06 	2.700e+07 	6.827e+08 	3.303e+09 	0.21 	0.10
HNC87   	8 	0.082 	0.677 	-0.933 	2.095 	1.047e+07 	8.644e+07 	8.581e+08 	7.085e+09 	0.12 	0.38
HCO+32  	2 	0.387 	0.191 	0.294 	0.499 	1.824e+07 	9.007e+06 	2.976e+10 	1.470e+10 	2.03 	0.53
HCO+43  	19 	0.214 	0.034 	-0.016 	0.554 	1.346e+07 	2.155e+06 	9.266e+09 	1.484e+09 	6.25 	0.16
HCO+54  	34 	0.122 	0.056 	-0.154 	0.468 	9.547e+06 	4.379e+06 	3.365e+09 	1.543e+09 	2.18 	0.16
HCO+65  	38 	0.168 	0.077 	-0.450 	1.366 	1.586e+07 	7.232e+06 	3.235e+09 	1.475e+09 	2.19 	0.25
HCO+76  	24 	0.263 	0.221 	-0.908 	1.422 	2.893e+07 	2.433e+07 	3.717e+09 	3.126e+09 	1.19 	0.09
HCO+87  	9 	0.284 	0.692 	-2.443 	1.069 	3.561e+07 	8.683e+07 	3.065e+09 	7.476e+09 	0.41 	0.26
H2O515422 	12 	-0.013 	0.037 	-0.117 	0.162 	-7.654e+05 	2.132e+06 	-6.958e+08 	1.938e+09 	-0.36 	0.14
H2O414321 	25 	0.106 	0.035 	-0.153 	0.445 	7.108e+06 	2.328e+06 	4.042e+09 	1.324e+09 	3.05 	0.12
H2O423330 	35 	-0.059 	0.060 	-0.570 	0.350 	-4.679e+06 	4.724e+06 	-1.626e+09 	1.642e+09 	-0.99 	0.10
H2O533440 	36 	0.089 	0.065 	-0.655 	0.692 	7.452e+06 	5.427e+06 	2.177e+09 	1.586e+09 	1.37 	0.14
H2O110101 	37 	-0.829 	0.097 	-2.175 	0.466 	-8.122e+07 	9.505e+06 	-1.469e+10 	1.719e+09 	-8.54 	0.24
H2O211202 	7 	4.006 	0.765 	0.625 	11.701 	5.301e+08 	1.012e+08 	3.895e+10 	7.438e+09 	5.24 	0.46
H2O+604 	29 	-0.046 	0.140 	-1.036 	2.707 	-4.892e+06 	1.492e+07 	-6.915e+08 	2.108e+09 	-0.33 	0.26
H2O+607 	27 	-0.147 	0.139 	-2.082 	0.859 	-1.570e+07 	1.486e+07 	-2.192e+09 	2.074e+09 	-1.06 	0.28
H2O+631 	20 	0.040 	0.239 	-0.456 	1.535 	4.415e+06 	2.652e+07 	5.473e+08 	3.288e+09 	0.17 	0.10
H2O+634 	20 	0.171 	0.237 	-0.874 	1.038 	1.912e+07 	2.642e+07 	2.341e+09 	3.236e+09 	0.72 	0.10
H2O+721 	9 	0.339 	0.649 	-2.278 	2.343 	4.309e+07 	8.239e+07 	3.579e+09 	6.843e+09 	0.52 	0.33
H2O+742 	7 	1.598 	0.733 	-1.698 	3.112 	2.087e+08 	9.572e+07 	1.596e+10 	7.319e+09 	2.18 	0.39
H2O+746 	7 	1.521 	0.711 	-1.176 	4.333 	1.998e+08 	9.342e+07 	1.501e+10 	7.017e+09 	2.14 	0.44
H2O+761 	5 	1.164 	0.855 	0.267 	4.290 	1.560e+08 	1.146e+08 	1.103e+10 	8.097e+09 	1.36 	0.51
CH532   	37 	0.593 	0.078 	0.111 	2.076 	5.559e+07 	7.352e+06 	1.149e+10 	1.520e+09 	7.56 	0.23
CH536   	37 	0.365 	0.077 	-0.157 	1.180 	3.447e+07 	7.297e+06 	6.965e+09 	1.475e+09 	4.72 	0.25
OH425   	30 	-0.034 	0.049 	-0.713 	0.233 	-2.511e+06 	3.661e+06 	-1.022e+09 	1.490e+09 	-0.69 	0.15
OH446   	36 	0.177 	0.056 	-0.181 	0.601 	1.389e+07 	4.422e+06 	4.884e+09 	1.555e+09 	3.14 	0.14
CN32    	14 	0.180 	0.034 	0.034 	0.447 	1.075e+07 	2.016e+06 	8.531e+09 	1.599e+09 	5.33 	0.17
CN43    	35 	0.093 	0.104 	-0.842 	1.868 	1.091e+07 	3.714e+06 	3.654e+09 	1.244e+09 	0.89 	0.11
