# Note: Line fluxes given scaled to redshift z = 3.0and S_1.4mm = 15.0mJy 
# Max contribution from a single source is 1.00 for CCH32 line
# The last several lines give the results for stacking *all* transitions of
# a given molecule - be careful with how you use these values!
# Line 		Nsrc 	I 	dI 	Lline 	dLline 	L'line 	dL'line 	S/N 	Max single contribution 
# --- 		--- 	Jykm/s 	Jykm/s 	Lsun 	Lsun 	Kkm/spc2 	Kkm/spc2 	--- 	---
CO10       	5 	0.717 	0.040 	1.454e+07 	8.074e+05 	2.966e+11 	1.647e+10 	18.00 	0.32
CO21       	10 	3.180 	0.125 	1.290e+08 	5.071e+06 	3.290e+11 	1.293e+10 	25.44 	0.24
CO32       	6 	5.586 	0.129 	3.399e+08 	1.357e+07 	2.569e+11 	1.025e+10 	43.39 	0.53
CO43       	12 	6.921 	0.208 	5.615e+08 	2.917e+07 	1.791e+11 	9.301e+09 	33.34 	0.50
CO54       	10 	12.067 	0.584 	1.224e+09 	1.026e+08 	1.998e+11 	1.675e+10 	20.66 	0.20
CO65       	2 	11.852 	1.541 	1.442e+09 	3.217e+08 	1.363e+11 	3.040e+10 	7.69 	0.53
13CO32     	5 	0.255 	0.071 	1.482e+07 	4.119e+06 	1.282e+10 	3.563e+09 	3.60 	0.39
13CO43     	9 	0.447 	0.104 	3.464e+07 	8.098e+06 	1.264e+10 	2.955e+09 	4.28 	0.57
13CO54     	9 	0.154 	0.323 	1.494e+07 	3.130e+07 	2.792e+09 	5.850e+09 	0.48 	0.25
13CO65     	4 	0.497 	0.470 	5.779e+07 	5.468e+07 	6.252e+09 	5.915e+09 	1.06 	0.47
C18O32     	5 	0.027 	0.074 	1.569e+06 	4.294e+06 	1.373e+09 	3.757e+09 	0.37 	0.39
C18O43     	7 	-0.210 	0.160 	-1.624e+07 	1.233e+07 	-5.994e+09 	4.550e+09 	-1.32 	0.54
C18O54     	9 	0.332 	0.302 	3.202e+07 	2.920e+07 	6.053e+09 	5.520e+09 	1.10 	0.20
C18O65     	4 	0.929 	0.483 	1.076e+08 	5.592e+07 	1.177e+10 	6.118e+09 	1.92 	0.44
CI10       	13 	2.090 	0.162 	1.810e+08 	1.406e+07 	4.745e+10 	3.686e+09 	12.88 	0.56
HCN32      	2 	-0.182 	0.130 	-8.521e+06 	6.062e+06 	-1.417e+10 	1.008e+10 	-1.41 	0.75
HCN43      	6 	0.306 	0.072 	1.907e+07 	4.515e+06 	1.338e+10 	3.167e+09 	4.22 	0.63
HCN54      	9 	0.157 	0.101 	1.223e+07 	7.884e+06 	4.392e+09 	2.832e+09 	1.55 	0.61
HCN65      	10 	0.202 	0.258 	1.887e+07 	2.410e+07 	3.923e+09 	5.010e+09 	0.78 	0.20
HCN76      	7 	0.504 	0.490 	5.506e+07 	5.344e+07 	7.209e+09 	6.997e+09 	1.03 	0.23
HCN87      	2 	2.348 	0.937 	2.929e+08 	1.169e+08 	2.570e+10 	1.025e+10 	2.51 	0.66
HNC32      	3 	0.029 	0.114 	1.389e+06 	5.467e+06 	2.158e+09 	8.492e+09 	0.25 	0.70
HNC43      	5 	0.388 	0.101 	2.475e+07 	6.453e+06 	1.622e+10 	4.229e+09 	3.84 	0.53
HNC54      	10 	0.584 	0.161 	4.663e+07 	1.281e+07 	1.561e+10 	4.290e+09 	3.64 	0.45
HNC65      	10 	0.687 	0.276 	6.574e+07 	2.644e+07 	1.277e+10 	5.135e+09 	2.49 	0.21
HNC76      	5 	-0.323 	0.743 	-3.610e+07 	8.301e+07 	-4.416e+09 	1.015e+10 	-0.43 	0.31
HNC87      	2 	-0.310 	0.868 	-3.961e+07 	1.108e+08 	-3.247e+09 	9.079e+09 	-0.36 	0.51
HCO+32     	2 	0.110 	0.124 	5.190e+06 	5.831e+06 	8.468e+09 	9.514e+09 	0.89 	0.77
HCO+43     	6 	0.270 	0.075 	1.698e+07 	4.696e+06 	1.169e+10 	3.233e+09 	3.62 	0.64
HCO+54     	10 	0.109 	0.102 	8.559e+06 	8.031e+06 	3.017e+09 	2.831e+09 	1.07 	0.56
HCO+65     	10 	1.177 	0.252 	1.108e+08 	2.375e+07 	2.261e+10 	4.845e+09 	4.67 	0.21
HCO+76     	7 	1.135 	0.535 	1.247e+08 	5.878e+07 	1.602e+10 	7.553e+09 	2.12 	0.25
HCO+87     	2 	0.709 	0.963 	8.896e+07 	1.209e+08 	7.659e+09 	1.041e+10 	0.74 	0.68
H2O515422  	5 	-0.012 	0.073 	-6.973e+05 	4.172e+06 	-6.339e+08 	3.793e+09 	-0.17 	0.40
H2O414321  	6 	0.184 	0.089 	1.232e+07 	5.953e+06 	7.008e+09 	3.385e+09 	2.07 	0.31
H2O423330  	10 	-0.072 	0.101 	-5.637e+06 	8.000e+06 	-1.959e+09 	2.780e+09 	-0.70 	0.58
H2O533440  	12 	0.336 	0.158 	2.806e+07 	1.319e+07 	8.198e+09 	3.853e+09 	2.13 	0.48
H2O110101  	9 	-0.875 	0.305 	-8.580e+07 	2.990e+07 	-1.552e+10 	5.408e+09 	-2.87 	0.20
H2O211202  	2 	3.228 	0.902 	4.272e+08 	1.194e+08 	3.139e+10 	8.772e+09 	3.58 	0.56
H2O+604    	8 	-0.378 	0.448 	-4.026e+07 	4.770e+07 	-5.690e+09 	6.741e+09 	-0.84 	0.21
H2O+607    	8 	0.133 	0.439 	1.421e+07 	4.689e+07 	1.984e+09 	6.544e+09 	0.30 	0.20
H2O+631    	5 	0.487 	0.610 	5.414e+07 	6.780e+07 	6.712e+09 	8.405e+09 	0.80 	0.35
H2O+634    	5 	0.285 	0.631 	3.176e+07 	7.046e+07 	3.890e+09 	8.629e+09 	0.45 	0.34
H2O+721    	2 	0.690 	0.876 	8.768e+07 	1.113e+08 	7.282e+09 	9.242e+09 	0.79 	0.50
H2O+742    	2 	2.931 	0.892 	3.828e+08 	1.165e+08 	2.927e+10 	8.905e+09 	3.29 	0.57
H2O+746    	2 	2.210 	0.836 	2.903e+08 	1.098e+08 	2.181e+10 	8.247e+09 	2.64 	0.50
H2O+761    	2 	0.726 	1.087 	9.734e+07 	1.457e+08 	6.880e+09 	1.030e+10 	0.67 	0.57
LiH10      	9 	0.021 	0.102 	1.660e+06 	7.987e+06 	5.927e+08 	2.852e+09 	0.21 	0.60
CH532      	10 	0.647 	0.253 	6.069e+07 	2.370e+07 	1.255e+10 	4.899e+09 	2.56 	0.19
CH536      	10 	0.505 	0.250 	4.774e+07 	2.359e+07 	9.646e+09 	4.768e+09 	2.02 	0.18
OH425      	8 	-0.054 	0.096 	-4.067e+06 	7.189e+06 	-1.655e+09 	2.926e+09 	-0.57 	0.55
OH446      	10 	0.183 	0.102 	1.434e+07 	7.998e+06 	5.042e+09 	2.812e+09 	1.79 	0.56
CN32       	5 	0.240 	0.074 	1.434e+07 	4.404e+06 	1.138e+10 	3.494e+09 	3.26 	0.52
