# nu	S_nu	dS_nu	Nsource
# GHz	mJy	mJy	---
240.00	nan	nan	0
240.40	nan	nan	0
240.80	nan	nan	0
241.20	nan	nan	0
241.61	nan	nan	0
242.01	nan	nan	0
242.41	nan	nan	0
242.82	nan	nan	0
243.22	nan	nan	0
243.63	nan	nan	0
244.03	nan	nan	0
244.44	nan	nan	0
244.85	nan	nan	0
245.26	nan	nan	0
245.67	nan	nan	0
246.07	nan	nan	0
246.49	nan	nan	0
246.90	nan	nan	0
247.31	nan	nan	0
247.72	nan	nan	0
248.13	nan	nan	0
248.55	nan	nan	0
248.96	nan	nan	0
249.38	nan	nan	0
249.79	nan	nan	0
250.21	nan	nan	0
250.63	nan	nan	0
251.05	nan	nan	0
251.46	nan	nan	0
251.88	nan	nan	0
252.30	nan	nan	0
252.72	nan	nan	0
253.15	nan	nan	0
253.57	-0.1971	0.5525	1
253.99	0.2266	0.4116	1
254.41	0.2232	0.4138	1
254.84	-0.1341	0.4200	1
255.26	0.4787	0.4195	1
255.69	-0.3638	0.4215	1
256.12	0.2936	0.4238	1
256.54	-0.0045	0.4214	1
256.97	0.5332	0.4175	1
257.40	0.0253	0.4119	1
257.83	0.2041	0.4124	1
258.26	0.0023	0.4091	1
258.69	-0.6651	0.4060	1
259.12	-0.0658	0.4134	1
259.55	-0.1983	0.4078	1
259.99	-0.1691	0.4026	1
260.42	-0.0318	0.3913	1
260.85	-0.0688	0.3880	1
261.29	0.0341	0.3919	1
261.72	0.5148	0.3904	1
262.16	0.3464	0.3984	1
262.60	0.3940	0.4019	1
263.04	0.1946	0.2831	2
263.48	0.2962	0.2186	2
263.91	0.0577	0.2198	2
264.35	0.0708	0.2198	2
264.80	0.0181	0.2237	2
265.24	0.0124	0.2230	2
265.68	-0.0503	0.2247	2
266.12	-0.2321	0.2244	2
266.57	0.2931	0.2227	2
267.01	0.0667	0.2223	2
267.46	0.0053	0.2196	2
267.90	0.1248	0.2177	2
268.35	0.3326	0.2180	2
268.80	0.1102	0.2182	2
269.25	0.0384	0.2167	2
269.69	0.2823	0.2127	2
270.14	-0.1603	0.2106	2
270.59	-0.2498	0.2094	2
271.05	0.3920	0.2088	2
271.50	-0.0522	0.2084	2
271.95	-0.0445	0.2120	2
272.40	-0.1054	0.1813	3
272.86	-0.1140	0.1721	3
273.31	0.2062	0.1735	3
273.77	0.0907	0.1743	3
274.23	-0.0093	0.1760	3
274.68	0.0140	0.1856	3
275.14	0.1105	0.1902	3
275.60	-0.1337	0.1914	3
276.06	0.1366	0.1965	3
276.52	0.0918	0.1970	3
276.98	-0.3326	0.1966	3
