# Source	LFIR	dLFIR	LCII	dLCII	SigFIR	dSigFIR	Sample
# ---	Lsun	Lsun	Lsun	Lsun	Lsun/kpc^2	Lsun/kpc^2	---
SPT0103-45      	6.37e+12	2.12e+12	3.84e+10	5.44e+09	2.42e+11	2.09e+10	spt
SPT0113-46      	8.80e+11	1.10e+12	4.64e+10	1.01e+10	5.15e+11	7.01e+10	spt
SPT0300-46      	5.24e+12	3.21e+12	1.65e+10	4.29e+09	6.64e+11	2.17e+11	spt
SPT0345-47      	1.16e+13	9.74e+12	3.31e+10	5.52e+09	5.60e+12	1.21e+12	spt
SPT0346-52      	2.21e+13	5.66e+12	5.04e+10	7.38e+09	9.43e+12	9.81e+11	spt
SPT0418-47      	1.80e+12	6.25e+12	6.49e+10	6.49e+09	7.00e+11	2.05e+11	spt
SPT0441-46      	2.91e+12	3.43e+12	2.44e+10	6.29e+09	1.74e+12	5.29e+11	spt
SPT0529-54      	2.27e+12	2.78e+12	7.71e+10	8.40e+09	1.02e+11	2.62e+10	spt
SPT0532-50      	6.47e+12	5.44e+12	4.10e+10	7.15e+09	1.00e+12	1.84e+11	spt
SPT2103-60      	1.22e+12	2.94e+12	7.07e+10	1.05e+10	7.86e+11	1.51e+11	spt
SPT2132-58      	5.42e+12	4.19e+12	2.14e+10	4.65e+09	2.20e+12	7.20e+11	spt
SPT2146-55      	4.06e+12	3.43e+12	2.24e+10	5.67e+09	7.73e+11	2.04e+11	spt
SPT2147-50      	4.89e+12	2.87e+12	3.42e+10	5.44e+09	6.94e+11	1.35e+11	spt
SPT2311-54      	1.69e+13	3.36e+12	2.41e+10	3.63e+09	2.75e+12	4.12e+11	spt
SPT2319-55      	3.16e+12	2.89e+12	1.35e+10	2.75e+09	2.35e+12	1.32e+12	spt
AM0702-601_S    	1.27e+11	1.91e+10	4.31e+08	9.91e+06	1.69e+10	5.08e+09	goals
Arp240_E        	4.52e+10	6.78e+09	2.40e+08	4.77e+06	6.24e+08	1.87e+08	goals
Arp240_W        	2.93e+10	4.39e+09	2.44e+08	4.77e+06	4.62e+08	1.39e+08	goals
Arp256          	1.27e+11	1.91e+10	4.16e+08	8.61e+06	3.12e+10	9.36e+09	goals
