# Lenses, with einstein radii summed in quadrature for each source in arcseconds
#Source		zL	zS	thE	dthE
#------		--	--	arcsec	arcsec
SPT0020-51	0.693	4.123	0.638	0.006
SPT0027-50	0.360	3.444	0.721	0.007
SPT0103-45	0.740	3.090	0.880	0.003
SPT0109-47	0.360	3.614	1.810	0.025
SPT0113-46	nan	4.233	1.264	0.006
SPT0125-47	0.305	2.515	1.011	0.002
SPT0125-50	0.510	3.957	0.984	0.005
SPT0128-51	nan	nan	0.750	0.000	
SPT0202-61	nan	5.018	0.758	0.005
SPT0243-49	nan	5.702	0.327	0.003
SPT0300-46	nan	3.595	0.344	0.008
SPT0319-47	nan	4.510	0.283	0.009
SPT0345-47	0.364	4.296	0.306	0.002
SPT0346-52	nan	5.655	0.979	0.007
SPT0348-62	0.378	5.654	1.002	0.000	
SPT0403-58	nan	4.056	0.533	0.047
SPT0404-59	nan	nan	0.549	0.027
SPT0418-47	0.263	4.225	1.247	0.003
SPT0441-46	0.882	4.480	0.678	0.006
SPT0452-50	1.218	2.010	0.820	0.140
SPT0459-58	nan	4.856	0.468	0.015
SPT0459-59	0.938	4.799	0.627	0.018
SPT0529-54	0.140	3.368	1.360	0.008
SPT0532-50	1.150	3.399	0.556	0.003
SPT0538-50	0.404	2.785	1.728	0.004
SPT2031-51	0.624	2.452	0.534	0.005
SPT2048-55	nan	4.090	0.361	0.006
SPT2103-60	0.764	4.436	1.065	0.016
SPT2132-58	nan	4.768	0.335	0.006
SPT2134-50	0.776	2.780	0.518	0.002
SPT2146-55	nan	4.567	0.858	0.004
SPT2147-50	0.845	3.760	1.195	0.006
SPT2311-54	0.440	4.280	0.209	0.007
SPT2319-55	0.910	5.293	0.430	0.003
SPT2340-59	0.113	3.862	1.581	0.016
SPT2349-50	0.450	2.876	0.244	0.005
SPT2354-58	0.428	1.867	0.321	0.003
SPT2357-51	nan	3.070	0.215	0.003
