# Sources, grouped based on being "related"
# S870 in this case is the summed flux density of all sources
# reff is the quadrature sum of the individaul radii
# mu870 is the total (apparent flux)/(intrinsic flux)
#Source		grp	zS	S870	dS870	reff	dreff	mu870	dmu870
#----		--	---	mJy	mJy	arc	arc	---	---
SPT0020-51	A	4.123	13.836	0.369	0.113	0.004	5.473	0.144
SPT0027-50	A	3.444	20.226	0.649	0.153	0.003	6.155	0.192
SPT0103-45	A	3.090	20.727	0.487	0.262	0.005	5.337	0.105
SPT0109-47	A	3.614	7.506	0.399	0.180	0.022	12.228	0.619
SPT0113-46	A	4.233	2.350	0.062	0.075	0.003	23.855	0.508
SPT0125-47	A	2.515	26.132	0.631	0.169	0.009	5.467	0.120
SPT0125-50	A	3.957	5.781	0.265	0.129	0.030	14.140	0.545
SPT0128-51	A	nan	9.792	4.646	0.139	0.015	1.119	0.057
SPT0128-51	B	nan	3.407	0.379	0.122	0.017	1.135	0.001
SPT0202-61	A	5.018	7.475	0.423	0.228	0.026	12.256	0.565
SPT0202-61	B	5.018	4.056	0.411	0.134	0.029	1.000	0.000
SPT0243-49	A	5.702	11.439	0.512	0.166	0.008	5.091	0.207
SPT0245-63	A	5.626	40.009	0.935	0.407	0.021	1.000	0.000
SPT0300-46	A	3.595	8.859	0.710	0.151	0.015	6.297	0.483
SPT0300-46	B	3.595	9.648	2.172	0.488	0.132	1.000	0.000
SPT0319-47	A	4.510	19.117	1.927	0.162	0.011	2.885	0.285
SPT0345-47	A	4.296	9.708	0.613	0.083	0.005	7.947	0.483
SPT0346-52	A	5.655	19.642	0.457	0.101	0.003	5.570	0.117
SPT0348-62	A	5.654	20.676	0.887	0.252	0.023	1.162	0.001
SPT0348-62	B	5.654	4.581	0.492	0.141	0.029	1.257	0.002
SPT0348-62	C	5.654	1.812	0.286	0.080	0.019	1.185	0.003
SPT0403-58	A	4.056	27.818	1.694	0.489	0.021	1.662	0.084
SPT0404-59	A	nan	2.874	0.567	0.126	0.029	4.098	0.616
SPT0418-47	A	4.225	2.583	0.229	0.092	0.008	32.701	2.658
SPT0441-46	A	4.480	6.884	0.571	0.076	0.007	12.726	0.963
SPT0452-50	A	2.010	30.735	2.322	0.265	0.015	1.708	0.102
SPT0459-58	A	4.856	11.820	1.513	0.217	0.023	4.966	0.575
SPT0459-59	A	4.799	11.262	1.107	0.323	0.023	4.241	0.383
SPT0459-59	B	4.799	3.218	0.407	0.205	0.048	1.538	0.055
SPT0529-54	A	3.368	7.016	0.584	0.248	0.019	13.229	0.848
SPT0532-50	A	3.399	13.232	0.848	0.134	0.007	10.039	0.567
SPT0538-50	A	2.785	5.273	0.528	0.164	0.015	20.120	1.814
SPT2031-51	A	2.452	15.327	0.779	0.170	0.008	3.893	0.164
SPT2048-55	A	4.090	9.266	1.057	0.111	0.010	6.255	0.700
SPT2052-56	A	nan	10.921	0.667	0.183	0.011	1.000	0.000
SPT2103-60	A	4.436	2.293	0.157	0.073	0.004	27.843	1.760
SPT2132-58	A	4.768	8.715	0.898	0.095	0.009	5.719	0.537
SPT2134-50	A	2.780	4.306	0.500	0.033	0.004	21.000	2.417
SPT2146-55	A	4.567	8.342	0.610	0.136	0.010	6.649	0.407
#SPT2146-56	A	nan	2.804	0.299	0.000	0.000	1.000	0.000
SPT2147-50	A	3.760	10.998	0.784	0.145	0.008	6.553	0.417
SPT2311-54	A	4.280	21.577	1.043	0.143	0.005	1.946	0.090
SPT2319-55	A	5.293	5.102	0.451	0.074	0.013	7.898	0.660
SPT2340-59	A	3.862	10.898	0.945	0.121	0.006	3.369	0.312
SPT2349-50	A	2.876	21.008	0.986	0.159	0.006	2.148	0.092
SPT2349-56	A	4.302	8.759	0.269	0.176	0.013	1.000	0.000
SPT2349-56	B	4.302	7.849	0.260	0.103	0.011	1.000	0.000
SPT2349-56	C	4.302	4.604	0.268	0.114	0.019	1.000	0.000
SPT2354-58	A	1.867	10.229	0.611	0.100	0.004	6.287	0.362
SPT2357-51	A	3.070	13.797	0.661	0.152	0.004	2.851	0.119
