# Source	z	LFIR	sigFIR	LCII	dLCII	mu	dmu	Sigmafir	dSigmafir
# ------        ------  Lsun    Lsun    Lsun    Lsun    ------  ------  Lsun/kpc^2      Lsun/kpc^2
SPT0103-45	3.090	3.4e+13	2.0e+12	3.842e+10	5.440e+09	5.340e+00	1.100e-01	2.418e+11	2.091e+10
SPT0113-46	4.232	2.1e+13	1.0e+12	4.641e+10	1.008e+10	2.386e+01	5.100e-01	5.149e+11	7.007e+10
SPT0300-46	3.596	3.3e+13	2.0e+12	1.650e+10	4.290e+09	6.300e+00	4.800e-01	6.635e+11	2.169e+11
SPT0345-47	4.296	9.2e+13	8.0e+12	3.312e+10	5.520e+09	7.950e+00	4.800e-01	5.601e+12	1.215e+12
SPT0346-52	5.656	1.2e+14	5.0e+12	5.043e+10	7.380e+09	5.570e+00	1.200e-01	9.426e+12	9.806e+11
SPT0418-47	4.224	5.9e+13	4.0e+12	6.490e+10	6.490e+09	3.270e+01	2.660e+00	7.004e+11	2.052e+11
SPT0441-46	4.477	3.7e+13	2.0e+12	2.442e+10	6.290e+09	1.273e+01	9.600e-01	1.740e+12	5.289e+11
SPT0529-54	3.369	3.0e+13	2.0e+12	7.710e+10	8.400e+09	1.323e+01	8.500e-01	1.017e+11	2.622e+10
SPT0532-50	3.399	6.5e+13	4.0e+12	4.095e+10	7.150e+09	1.004e+01	5.700e-01	1.000e+12	1.843e+11
SPT2103-60	4.435	3.4e+13	2.0e+12	7.072e+10	1.054e+10	2.784e+01	1.760e+00	7.860e+11	1.514e+11
SPT2132-58	4.768	3.1e+13	3.0e+12	2.139e+10	4.650e+09	5.720e+00	5.400e-01	2.202e+12	7.198e+11
SPT2146-55	4.567	2.7e+13	3.0e+12	2.241e+10	5.670e+09	6.650e+00	4.100e-01	7.732e+11	2.038e+11
SPT2147-50	3.761	3.2e+13	2.0e+12	3.424e+10	5.440e+09	6.550e+00	4.200e-01	6.943e+11	1.354e+11
SPT2311-54	4.281	3.3e+13	3.0e+12	2.409e+10	3.630e+09	1.950e+00	9.000e-02	2.751e+12	4.123e+11
SPT2319-55	5.293	2.5e+13	2.0e+12	1.350e+10	2.750e+09	7.900e+00	6.600e-01	2.348e+12	1.324e+12
# Notes:
# Luminosities are apparent, should be divided by mu.
# SigmaFIR surface densities propagate through uncertainties from lens models, though.
