# you can read this file e.g. in python/pandas:
#  clumps = pd.read_csv('spilker22_spt0311-58_clumpproperties.txt',delim_whitespace=True,comment='#',index_col=0)
ClumpID	Snu_cont	rcirc_cont	v0_CII	rcirc_CII	sigma_CII	LIR	LCII	SFR_CII	Mgas	Mdyn
# ---       mJy         kpc         km/s        kpc         km/s        Lsun        Lsun        Msun/yr     Msun        Msun
E1	4.500e-02	2.535e-01	1.092e+03	6.469e-01	9.328e+01	1.971e+11	3.957e+08	9.120e+01	1.710e+09	6.543e+09
E2	3.100e-01	2.440e-01	8.977e+02	9.975e-01	1.117e+02	1.358e+12	1.299e+09	2.476e+02	1.178e+10	1.448e+10
E3	2.600e-01	2.557e-01	7.535e+02	1.071e+00	8.527e+01	1.139e+12	1.201e+09	2.317e+02	9.880e+09	9.058e+09
E4	1.300e-01	1.589e-01	6.559e+02	7.564e-01	1.072e+02	5.695e+11	1.020e+09	2.020e+02	4.940e+09	1.011e+10
W1	7.000e-01	4.635e-01	-1.111e+02	8.164e-01	7.182e+01	2.888e+12	5.913e+08	1.278e+02	2.380e+10	4.895e+09
W2	7.500e-01	4.362e-01	-3.119e+02	1.331e+00	9.476e+01	3.094e+12	2.523e+09	4.323e+02	2.550e+10	1.389e+10
W3	9.600e-01	4.391e-01	-1.928e+01	1.124e+00	1.103e+02	3.960e+12	1.886e+09	3.385e+02	3.264e+10	1.589e+10
W4	2.010e+00	6.168e-01	2.685e+02	7.331e-01	1.001e+02	8.291e+12	6.544e+08	1.392e+02	6.834e+10	8.540e+09
W5	4.500e-01	3.534e-01	1.468e+02	6.999e-01	1.196e+02	1.856e+12	7.145e+08	1.498e+02	1.530e+10	1.164e+10
W6	1.190e+00	5.342e-01	4.072e+02	8.393e-01	8.375e+01	4.909e+12	7.413e+08	1.545e+02	4.046e+10	6.844e+09
W7	1.800e-01	4.288e-01	2.109e+02	8.753e-01	6.679e+01	7.425e+11	8.670e+08	1.762e+02	6.120e+09	4.540e+09
W8	4.500e-01	3.816e-01	3.569e+02	9.978e-01	6.933e+01	1.856e+12	1.278e+09	2.441e+02	1.530e+10	5.577e+09
